PointIndex,Distance
1,4.83794
2,4.838
3,4.83435
4,4.84263
5,4.84527
6,4.82641
7,4.84178
8,4.83643
9,4.84246
10,4.83141
11,4.84064
12,4.83186
13,4.83759
14,4.83532
15,4.83689
16,4.84364
17,4.82771
18,4.84106
19,4.83465
20,4.82755
21,4.82699
22,4.83178
23,4.83393
24,4.84188
25,4.83001
26,4.8387
27,4.83192
28,4.82676
29,4.827
30,4.83435
31,4.84132
32,4.84472
33,4.83518
34,4.84219
35,4.83127
36,4.84086
37,4.82782
38,4.83213
39,4.8388
40,4.84026
41,4.84491
42,4.84089
43,4.84166
44,4.8349
45,4.83785
46,4.83504
47,4.82763
48,4.84125
49,4.84321
50,4.8358
51,4.8357
52,4.83599
53,4.84449
54,4.82763
55,4.84378
56,4.8268
57,4.82577
58,4.83816
59,4.83405
60,4.83804
61,4.82869
62,4.83129
63,4.8306
64,4.83585
65,4.84219
66,4.84199
67,4.83651
68,4.84223
69,4.84248
70,4.84377
71,4.82934
72,4.83612
73,4.84214
74,4.82839
75,4.84186
76,4.841
77,4.8279
78,4.84223
79,4.84127
80,4.82775
81,4.83226
82,4.83474
83,4.82608
84,4.83062
85,4.83352
86,4.84431
87,4.83065
88,4.84509
89,4.83979
90,4.83385
91,4.84141
92,4.84152
93,4.83088
94,4.84145
95,4.83086
96,4.83087
97,4.83522
98,4.83646
99,4.83057
100,4.82884
101,4.83477
102,4.82995
103,4.8426
104,4.8273
105,4.83867
106,4.83333
107,4.8415
108,4.84443
109,4.82697
110,4.83062
111,4.83663
112,4.83934
113,4.8384
114,4.83721
115,4.8435
116,4.84122
117,4.83586
118,4.82957
119,4.82892
120,4.835
121,4.8299
122,4.83367
123,4.84079
124,4.82644
125,4.84234
126,4.83345
127,4.83662
128,4.84307
129,4.82879
130,4.83126
131,4.83402
132,4.84446
133,4.83069
134,4.844
135,4.83247
136,4.83832
137,4.82809
138,4.83493
139,4.8337
140,4.8436
141,4.8353
142,4.82985
143,4.8399
144,4.84558
145,4.82981
146,4.8381
147,4.84069
148,4.84013
149,4.83405
150,4.83734
151,4.84491
152,4.83462
153,4.84279
154,4.83139
155,4.83053
156,4.84476
157,4.82894
158,4.84068
159,4.82633
160,4.84273
161,4.83875
162,4.83498
163,4.83129
164,4.82915
165,4.83488
166,4.83545
167,4.84548
168,4.83159
169,4.83518
170,4.82978
171,4.84013
172,4.83434
173,4.83484
174,4.84493
175,4.83214
176,4.83844
177,4.83135
178,4.82719
179,4.83405
180,4.83882
181,4.82883
182,4.84563
183,4.83712
184,4.84486
185,4.83756
186,4.83834
187,4.83549
188,4.83591
189,4.83454
190,4.83775
191,4.8414
192,4.8413
193,4.83086
194,4.82849
195,4.83879
196,4.83386
197,4.83761
198,4.83909
199,4.82596
200,4.83175
201,4.82812
202,4.84078
203,4.8455
204,4.8389
205,4.83354
206,4.84005
207,4.82809
208,4.84174
209,4.84197
210,4.84238
211,4.82995
212,4.82869
213,4.84091
214,4.83912
215,4.83196
216,4.83499
217,4.8456
218,4.83894
219,4.83468
220,4.84492
221,4.82699
222,4.83164
223,4.84291
224,4.84414
225,4.82766
226,4.83742
227,4.84168
228,4.8375
229,4.83007
230,4.84051
231,4.83106
232,4.84162
233,4.82809
234,4.83926
235,4.83055
236,4.84239
237,4.83688
238,4.83716
239,4.83869
240,4.82842
241,4.84536
242,4.83121
243,4.84431
244,4.84466
245,4.8322
246,4.84352
247,4.84288
248,4.83075
249,4.83957
250,4.83475
251,4.83886
252,4.8429
253,4.83224
254,4.84084
255,4.82892
256,4.8433
257,4.84279
258,4.82802
259,4.83345
260,4.83874
261,4.83612
262,4.84366
263,4.83512
264,4.84411
265,4.83679
266,4.84025
267,4.83203
268,4.83817
269,4.84256
270,4.82704
271,4.8436
272,4.84461
273,4.82975
274,4.83803
275,4.83421
276,4.84234
277,4.83301
278,4.82589
279,4.82765
280,4.8347
281,4.83595
282,4.83867
283,4.84336
284,4.83718
285,4.83936
286,4.83429
287,4.82705
288,4.82917
289,4.84053
290,4.8377
291,4.83625
292,4.83312
293,4.8447
294,4.826
295,4.84501
296,4.84126
297,4.8313
298,4.83494
299,4.83952
300,4.83161
301,4.83794
302,4.8353
303,4.842
304,4.84336
305,4.83528
306,4.83098
307,4.83029
308,4.82665
309,4.84264
310,4.83074
311,4.84558
312,4.84181
313,4.8369
314,4.82814
